Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Agra","https://www.hotelswithbathtubs.com/india/agra","Courtyard By Marriott","https://www.makemytrip.com/hotels/courtyard_by_marriott-details-agra.html","https://www.booking.com/hotel/in/courtyard-by-marriott.html","https://www.agoda.com/courtyard-by-marriott/hotel/agra-in.html","/assets/courtyard-by-marriott-agra-with-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Agra","https://www.hotelswithbathtubs.com/india/agra","Doubletree By Hilton","https://www.makemytrip.com/hotels/doubletree_by_hilton-details-agra.html","https://www.booking.com/hotel/in/doubletree-by-hilton.html","https://www.agoda.com/doubletree-by-hilton/hotel/agra-in.html","/assets/doubletree-by-hilton-agra-with-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Agra","https://www.hotelswithbathtubs.com/india/agra","Fragrant Nature A Five Star Classified Hotel","https://www.makemytrip.com/hotels/fragrant_nature_a_five_star_classified_hotel-details-agra.html","https://www.booking.com/hotel/in/fragrant-nature-a-five-star-classified-hotel.html","https://www.agoda.com/fragrant-nature-a-five-star-classified-hotel/hotel/agra-in.html","/assets/bathtub-room-fragrant-nature-kochi-a-five-star-classified-hotel.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Agra","https://www.hotelswithbathtubs.com/india/agra","Holiday Inn Mg Road An Ihg Hotel","https://www.makemytrip.com/hotels/holiday_inn_mg_road_an_ihg_hotel-details-agra.html","https://www.booking.com/hotel/in/holiday-inn-mg-road-an-ihg-hotel.html","https://www.agoda.com/holiday-inn-mg-road-an-ihg-hotel/hotel/agra-in.html","/assets/bathtub-holiday-inn-agra-mg-road-an-ihg-hotel.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Agra","https://www.hotelswithbathtubs.com/india/agra","Hotel Clarks Shiraz","https://www.makemytrip.com/hotels/hotel_clarks_shiraz-details-agra.html","https://www.booking.com/hotel/in/hotel-clarks-shiraz.html","https://www.agoda.com/hotel-clarks-shiraz/hotel/agra-in.html","/assets/hotel-clarks-shiraz-agra-with-spabath.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Agra","https://www.hotelswithbathtubs.com/india/agra","Hotel Courtyard By Marriott","https://www.makemytrip.com/hotels/hotel_courtyard_by_marriott-details-agra.html","https://www.booking.com/hotel/in/hotel-courtyard-by-marriott.html","https://www.agoda.com/hotel-courtyard-by-marriott/hotel/agra-in.html","/assets/bathtub-hotel-courtyard-by-marriott-agra.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Agra","https://www.hotelswithbathtubs.com/india/agra","Hotel Doubletree By Hilton","https://www.makemytrip.com/hotels/hotel_doubletree_by_hilton-details-agra.html","https://www.booking.com/hotel/in/hotel-doubletree-by-hilton.html","https://www.agoda.com/hotel-doubletree-by-hilton/hotel/agra-in.html","/assets/hotel-doubletree-by-hilton-agra-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Agra","https://www.hotelswithbathtubs.com/india/agra","Hotel Grand Mercure An Accor Brand","https://www.makemytrip.com/hotels/hotel_grand_mercure_an_accor_brand-details-agra.html","https://www.booking.com/hotel/in/hotel-grand-mercure-an-accor-brand.html","https://www.agoda.com/hotel-grand-mercure-an-accor-brand/hotel/agra-in.html","/assets/bathtub-hotel-grand-mercure-agra-an-accor-brand.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Agra","https://www.hotelswithbathtubs.com/india/agra","Hotel Room Doubletree By Hilton","https://www.makemytrip.com/hotels/hotel_room_doubletree_by_hilton-details-agra.html","https://www.booking.com/hotel/in/hotel-room-doubletree-by-hilton.html","https://www.agoda.com/hotel-room-doubletree-by-hilton/hotel/agra-in.html","/assets/bathtub-hotel-room-doubletree-by-hilton-agra.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Agra","https://www.hotelswithbathtubs.com/india/agra","Hotel The P L Palace","https://www.makemytrip.com/hotels/hotel_the_p_l_palace-details-agra.html","https://www.booking.com/hotel/in/hotel-the-p-l-palace.html","https://www.agoda.com/hotel-the-p-l-palace/hotel/agra-in.html","/assets/bathtub-hotel-the-p-l-palace-agra.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
