Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Bhopal","https://www.hotelswithbathtubs.com/india/bhopal","Courtyard By Marriott","https://www.makemytrip.com/hotels/courtyard_by_marriott-details-bhopal.html","https://www.booking.com/hotel/in/courtyard-by-marriott.html","https://www.agoda.com/courtyard-by-marriott/hotel/bhopal-in.html","/assets/courtyard-by-marriott-bhopal-with-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Bhopal","https://www.hotelswithbathtubs.com/india/bhopal","Courtyard By Marriott Hottub","https://www.makemytrip.com/hotels/courtyard_by_marriott_hottub-details-bhopal.html","https://www.booking.com/hotel/in/courtyard-by-marriott-hottub.html","https://www.agoda.com/courtyard-by-marriott-hottub/hotel/bhopal-in.html","/assets/courtyard-by-marriott-bhopal-hottub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Bhopal","https://www.hotelswithbathtubs.com/india/bhopal","Courtyard By Marriott With Bath","https://www.makemytrip.com/hotels/courtyard_by_marriott_with_bath-details-bhopal.html","https://www.booking.com/hotel/in/courtyard-by-marriott-with-bath.html","https://www.agoda.com/courtyard-by-marriott-with-bath/hotel/bhopal-in.html","/assets/courtyard-by-marriott-bhopal-with-bath.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Bhopal","https://www.hotelswithbathtubs.com/india/bhopal","Ganpati Hotel","https://www.makemytrip.com/hotels/ganpati_hotel-details-bhopal.html","https://www.booking.com/hotel/in/ganpati-hotel.html","https://www.agoda.com/ganpati-hotel/hotel/bhopal-in.html","/assets/ganpati-hotel-bhopal-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Bhopal","https://www.hotelswithbathtubs.com/india/bhopal","Giovanni Village Resort","https://www.makemytrip.com/hotels/giovanni_village_resort-details-bhopal.html","https://www.booking.com/hotel/in/giovanni-village-resort.html","https://www.agoda.com/giovanni-village-resort/hotel/bhopal-in.html","/assets/bathtub-room-giovanni-village-resort-bhopal.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Bhopal","https://www.hotelswithbathtubs.com/india/bhopal","Hotel Caesars Palace","https://www.makemytrip.com/hotels/hotel_caesars_palace-details-bhopal.html","https://www.booking.com/hotel/in/hotel-caesars-palace.html","https://www.agoda.com/hotel-caesars-palace/hotel/bhopal-in.html","/assets/hotel-caesars-palace-bhopal-with-hottub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Bhopal","https://www.hotelswithbathtubs.com/india/bhopal","Hotel Room Courtyard By Marriott","https://www.makemytrip.com/hotels/hotel_room_courtyard_by_marriott-details-bhopal.html","https://www.booking.com/hotel/in/hotel-room-courtyard-by-marriott.html","https://www.agoda.com/hotel-room-courtyard-by-marriott/hotel/bhopal-in.html","/assets/bathtub-hotel-room-courtyard-by-marriott-bhopal.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Bhopal","https://www.hotelswithbathtubs.com/india/bhopal","Hotel Room Radisson","https://www.makemytrip.com/hotels/hotel_room_radisson-details-bhopal.html","https://www.booking.com/hotel/in/hotel-room-radisson.html","https://www.agoda.com/hotel-room-radisson/hotel/bhopal-in.html","/assets/bathtub-hotel-room-radisson-bhopal.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Bhopal","https://www.hotelswithbathtubs.com/india/bhopal","Hotel Room Taj Lakefront","https://www.makemytrip.com/hotels/hotel_room_taj_lakefront-details-bhopal.html","https://www.booking.com/hotel/in/hotel-room-taj-lakefront.html","https://www.agoda.com/hotel-room-taj-lakefront/hotel/bhopal-in.html","/assets/hotel-room-taj-lakefront-bhopal-with-bathtub-lake-view.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Bhopal","https://www.hotelswithbathtubs.com/india/bhopal","Hotel Sapphire Blue","https://www.makemytrip.com/hotels/hotel_sapphire_blue-details-bhopal.html","https://www.booking.com/hotel/in/hotel-sapphire-blue.html","https://www.agoda.com/hotel-sapphire-blue/hotel/bhopal-in.html","/assets/hotel-sapphire-blue-bhopal-with-jacuzzi-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
