Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Chandigarh","https://www.hotelswithbathtubs.com/india/chandigarh","Holiday Inn Panchkula An Ihg Hotel","https://www.makemytrip.com/hotels/holiday_inn_panchkula_an_ihg_hotel-details-chandigarh.html","https://www.booking.com/hotel/in/holiday-inn-panchkula-an-ihg-hotel.html","https://www.agoda.com/holiday-inn-panchkula-an-ihg-hotel/hotel/chandigarh-in.html","/assets/holiday-inn-chandigarh-panchkula-an-ihg-hotel-with-romantic-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Chandigarh","https://www.hotelswithbathtubs.com/india/chandigarh","Hotel Hyatt Regency","https://www.makemytrip.com/hotels/hotel_hyatt_regency-details-chandigarh.html","https://www.booking.com/hotel/in/hotel-hyatt-regency.html","https://www.agoda.com/hotel-hyatt-regency/hotel/chandigarh-in.html","/assets/bathtub-hotel-hyatt-regency-chandigarh.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Chandigarh","https://www.hotelswithbathtubs.com/india/chandigarh","Hotel Lords Inn","https://www.makemytrip.com/hotels/hotel_lords_inn-details-chandigarh.html","https://www.booking.com/hotel/in/hotel-lords-inn.html","https://www.agoda.com/hotel-lords-inn/hotel/chandigarh-in.html","/assets/hotel-lords-inn-chandigarh-zirakpur-with-romantic-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Chandigarh","https://www.hotelswithbathtubs.com/india/chandigarh","Hotel The Lalit","https://www.makemytrip.com/hotels/hotel_the_lalit-details-chandigarh.html","https://www.booking.com/hotel/in/hotel-the-lalit.html","https://www.agoda.com/hotel-the-lalit/hotel/chandigarh-in.html","/assets/bathtub-hotel-the-lalit-chandigarh.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Chandigarh","https://www.hotelswithbathtubs.com/india/chandigarh","Hotel The Regent Regency Rediscovered","https://www.makemytrip.com/hotels/hotel_the_regent_regency_rediscovered-details-chandigarh.html","https://www.booking.com/hotel/in/hotel-the-regent-regency-rediscovered.html","https://www.agoda.com/hotel-the-regent-regency-rediscovered/hotel/chandigarh-in.html","/assets/bathtub-hotel-the-regent-chandigarh-regency-rediscovered.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Chandigarh","https://www.hotelswithbathtubs.com/india/chandigarh","Hotel Wyndham Mohali","https://www.makemytrip.com/hotels/hotel_wyndham_mohali-details-chandigarh.html","https://www.booking.com/hotel/in/hotel-wyndham-mohali.html","https://www.agoda.com/hotel-wyndham-mohali/hotel/chandigarh-in.html","/assets/bathtub-hotel-wyndham-chandigarh-mohali.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Chandigarh","https://www.hotelswithbathtubs.com/india/chandigarh","Hyatt Centric Sector17 Hotel","https://www.makemytrip.com/hotels/hyatt_centric_sector17_hotel-details-chandigarh.html","https://www.booking.com/hotel/in/hyatt-centric-sector17-hotel.html","https://www.agoda.com/hyatt-centric-sector17-hotel/hotel/chandigarh-in.html","/assets/hyatt-centric-sector17-chandigarh-hotel-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Chandigarh","https://www.hotelswithbathtubs.com/india/chandigarh","Hyatt Regency","https://www.makemytrip.com/hotels/hyatt_regency-details-chandigarh.html","https://www.booking.com/hotel/in/hyatt-regency.html","https://www.agoda.com/hyatt-regency/hotel/chandigarh-in.html","/assets/bathtub-room-hyatt-regency-chandigarh.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Chandigarh","https://www.hotelswithbathtubs.com/india/chandigarh","Hyatt Regency Hotel","https://www.makemytrip.com/hotels/hyatt_regency_hotel-details-chandigarh.html","https://www.booking.com/hotel/in/hyatt-regency-hotel.html","https://www.agoda.com/hyatt-regency-hotel/hotel/chandigarh-in.html","/assets/hyatt-regency-chandigarh-hotel-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Chandigarh","https://www.hotelswithbathtubs.com/india/chandigarh","Jw Marriott Hotel","https://www.makemytrip.com/hotels/jw_marriott_hotel-details-chandigarh.html","https://www.booking.com/hotel/in/jw-marriott-hotel.html","https://www.agoda.com/jw-marriott-hotel/hotel/chandigarh-in.html","/assets/bathtub-room-jw-marriott-hotel-chandigarh.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
