Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Delhi","https://www.hotelswithbathtubs.com/india/delhi","Airport Hotel Ramhan Palace","https://www.makemytrip.com/hotels/airport_hotel_ramhan_palace-details-mahipalpur.html","https://www.booking.com/hotel/in/airport-hotel-ramhan-palace.html","https://www.agoda.com/airport-hotel-ramhan-palace/hotel/mahipalpur-in.html","/assets/airport-hotel-ramhan-palace-mahipalpur-with-bath-tub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Delhi","https://www.hotelswithbathtubs.com/india/delhi","Crowne Plaza New Okhla An Ihg Hotel","https://www.makemytrip.com/hotels/crowne_plaza_new_okhla_an_ihg_hotel-details-delhi.html","https://www.booking.com/hotel/in/crowne-plaza-new-okhla-an-ihg-hotel.html","https://www.agoda.com/crowne-plaza-new-okhla-an-ihg-hotel/hotel/delhi-in.html","/assets/bathtub-room-crowne-plaza-new-delhi-okhla-an-ihg-hotel.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Delhi","https://www.hotelswithbathtubs.com/india/delhi","Diplomat Chanakyapuri New A Boutique Hotel","https://www.makemytrip.com/hotels/diplomat_chanakyapuri_new_a_boutique_hotel-details-delhi.html","https://www.booking.com/hotel/in/diplomat-chanakyapuri-new-a-boutique-hotel.html","https://www.agoda.com/diplomat-chanakyapuri-new-a-boutique-hotel/hotel/delhi-in.html","/assets/diplomat-chanakyapuri-new-delhi-a-boutique-hotel-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Delhi","https://www.hotelswithbathtubs.com/india/delhi","Hotel Airport Inn Near Airport","https://www.makemytrip.com/hotels/hotel_airport_inn_near_airport-details-mahipalpur.html","https://www.booking.com/hotel/in/hotel-airport-inn-near-airport.html","https://www.agoda.com/hotel-airport-inn-near-airport/hotel/mahipalpur-in.html","/assets/hotel-airport-inn-near-delhi-airport-mahipalpur-with-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Delhi","https://www.hotelswithbathtubs.com/india/delhi","Hotel Anand International","https://www.makemytrip.com/hotels/hotel_anand_international-details-mahipalpur.html","https://www.booking.com/hotel/in/hotel-anand-international.html","https://www.agoda.com/hotel-anand-international/hotel/mahipalpur-in.html","/assets/bathtub-room-hotel-anand-international-mahipalpur.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Delhi","https://www.hotelswithbathtubs.com/india/delhi","Hotel Krishna By Rcg Hotels New","https://www.makemytrip.com/hotels/hotel_krishna_by_rcg_hotels_new-details-delhi.html","https://www.booking.com/hotel/in/hotel-krishna-by-rcg-hotels-new.html","https://www.agoda.com/hotel-krishna-by-rcg-hotels-new/hotel/delhi-in.html","/assets/bathtub-room-hotel-krishna-by-rcg-hotels-paharganj-new-delhi.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Delhi","https://www.hotelswithbathtubs.com/india/delhi","Hotel Novotel New Aerocity International Airport","https://www.makemytrip.com/hotels/hotel_novotel_new_aerocity_international_airport-details-delhi.html","https://www.booking.com/hotel/in/hotel-novotel-new-aerocity-international-airport.html","https://www.agoda.com/hotel-novotel-new-aerocity-international-airport/hotel/delhi-in.html","/assets/bathtub-hotel-novotel-new-delhi-aerocity-international-airport.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Delhi","https://www.hotelswithbathtubs.com/india/delhi","Hotel Prithvi Raj Near Airport","https://www.makemytrip.com/hotels/hotel_prithvi_raj_near_airport-details-mahipalpur.html","https://www.booking.com/hotel/in/hotel-prithvi-raj-near-airport.html","https://www.agoda.com/hotel-prithvi-raj-near-airport/hotel/mahipalpur-in.html","/assets/hotel-prithvi-raj-near-delhi-airport-mahipalpur-with-jacuzzi.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Delhi","https://www.hotelswithbathtubs.com/india/delhi","Hotel Pullman New Aerocity International Airport","https://www.makemytrip.com/hotels/hotel_pullman_new_aerocity_international_airport-details-delhi.html","https://www.booking.com/hotel/in/hotel-pullman-new-aerocity-international-airport.html","https://www.agoda.com/hotel-pullman-new-aerocity-international-airport/hotel/delhi-in.html","/assets/bathtub-hotel-pullman-new-delhi-aerocity-international-airport.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Delhi","https://www.hotelswithbathtubs.com/india/delhi","Hotel Radisson Blu Plaza Airport","https://www.makemytrip.com/hotels/hotel_radisson_blu_plaza_airport-details-delhi.html","https://www.booking.com/hotel/in/hotel-radisson-blu-plaza-airport.html","https://www.agoda.com/hotel-radisson-blu-plaza-airport/hotel/delhi-in.html","https://pix8.agoda.net/hotelImages/10702/-1/a573be9081e7d825c893cb62118742f1.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
