Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Faridabad","https://www.hotelswithbathtubs.com/india/faridabad","Courtyard By Marriott Aravali Resort","https://www.makemytrip.com/hotels/courtyard_by_marriott_aravali_resort-details-faridabad.html","https://www.booking.com/hotel/in/courtyard-by-marriott-aravali-resort.html","https://www.agoda.com/courtyard-by-marriott-aravali-resort/hotel/faridabad-in.html","/assets/courtyard-by-marriott-aravali-resort-faridabad-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Faridabad","https://www.hotelswithbathtubs.com/india/faridabad","Faridabad Vivanta Surajkund Ncr","https://www.makemytrip.com/hotels/faridabad_vivanta_surajkund_ncr-details-faridabad.html","https://www.booking.com/hotel/in/faridabad-vivanta-surajkund-ncr.html","https://www.agoda.com/faridabad-vivanta-surajkund-ncr/hotel/faridabad-in.html","/assets/spa-bath-faridabad-vivanta-surajkund-ncr.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Faridabad","https://www.hotelswithbathtubs.com/india/faridabad","Hotel Courtyard By Marriott Aravali Resort","https://www.makemytrip.com/hotels/hotel_courtyard_by_marriott_aravali_resort-details-faridabad.html","https://www.booking.com/hotel/in/hotel-courtyard-by-marriott-aravali-resort.html","https://www.agoda.com/hotel-courtyard-by-marriott-aravali-resort/hotel/faridabad-in.html","/assets/bathtub-hotel-courtyard-by-marriott-aravali-resort-faridabad.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Faridabad","https://www.hotelswithbathtubs.com/india/faridabad","Hotel Lavit Couple Friendly Near Metro Station","https://www.makemytrip.com/hotels/hotel_lavit_couple_friendly_near_metro_station-details-faridabad.html","https://www.booking.com/hotel/in/hotel-lavit-couple-friendly-near-metro-station.html","https://www.agoda.com/hotel-lavit-couple-friendly-near-metro-station/hotel/faridabad-in.html","/assets/jacuzzi-hotel-lavit-couple-friendly-near-faridabad-metro-station.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Faridabad","https://www.hotelswithbathtubs.com/india/faridabad","Hotel Park Plaza","https://www.makemytrip.com/hotels/hotel_park_plaza-details-faridabad.html","https://www.booking.com/hotel/in/hotel-park-plaza.html","https://www.agoda.com/hotel-park-plaza/hotel/faridabad-in.html","/assets/bathtub-hotel-park-plaza-faridabad.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Faridabad","https://www.hotelswithbathtubs.com/india/faridabad","Hotel Radisson Blu","https://www.makemytrip.com/hotels/hotel_radisson_blu-details-faridabad.html","https://www.booking.com/hotel/in/hotel-radisson-blu.html","https://www.agoda.com/hotel-radisson-blu/hotel/faridabad-in.html","https://pix8.agoda.net/hotelImages/104990/-1/a24cb474c3e387146e492ca4da2032d8.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Faridabad","https://www.hotelswithbathtubs.com/india/faridabad","Hotel Room Radisson Blu","https://www.makemytrip.com/hotels/hotel_room_radisson_blu-details-faridabad.html","https://www.booking.com/hotel/in/hotel-room-radisson-blu.html","https://www.agoda.com/hotel-room-radisson-blu/hotel/faridabad-in.html","/assets/bathtub-hotel-room-radisson-blu-faridabad.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Faridabad","https://www.hotelswithbathtubs.com/india/faridabad","Hotel The Lalit Mangar","https://www.makemytrip.com/hotels/hotel_the_lalit_mangar-details-faridabad.html","https://www.booking.com/hotel/in/hotel-the-lalit-mangar.html","https://www.agoda.com/hotel-the-lalit-mangar/hotel/faridabad-in.html","/assets/bathtub-hotel-the-lalit-mangar-faridabad.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Faridabad","https://www.hotelswithbathtubs.com/india/faridabad","Hotel Vivanta Surajkund Ncr","https://www.makemytrip.com/hotels/hotel_vivanta_surajkund_ncr-details-faridabad.html","https://www.booking.com/hotel/in/hotel-vivanta-surajkund-ncr.html","https://www.agoda.com/hotel-vivanta-surajkund-ncr/hotel/faridabad-in.html","/assets/bathtub-hotel-faridabad-vivanta-surajkund-ncr.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Faridabad","https://www.hotelswithbathtubs.com/india/faridabad","Park Plaza","https://www.makemytrip.com/hotels/park_plaza-details-faridabad.html","https://www.booking.com/hotel/in/park-plaza.html","https://www.agoda.com/park-plaza/hotel/faridabad-in.html","/assets/park-plaza-faridabad-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
