Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Hotel Grand Parivaar Room","https://www.makemytrip.com/hotels/hotel_grand_parivaar_room-details-igatpuri.html","https://www.booking.com/hotel/in/hotel-grand-parivaar-room.html","https://www.agoda.com/hotel-grand-parivaar-room/hotel/igatpuri-in.html","/assets/hotel-grand-parivaar-igatpuri-room-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Hotel Rakabi The Fern","https://www.makemytrip.com/hotels/hotel_rakabi_the_fern-details-igatpuri.html","https://www.booking.com/hotel/in/hotel-rakabi-the-fern.html","https://www.agoda.com/hotel-rakabi-the-fern/hotel/igatpuri-in.html","/assets/hottub-hotel-rakabi-the-fern-igatpuri.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Hotel Regenta Place","https://www.makemytrip.com/hotels/hotel_regenta_place-details-igatpuri.html","https://www.booking.com/hotel/in/hotel-regenta-place.html","https://www.agoda.com/hotel-regenta-place/hotel/igatpuri-in.html","/assets/jacuzzi-hotel-regenta-place-igatpuri.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Hotel Room Rakabi The Fern","https://www.makemytrip.com/hotels/hotel_room_rakabi_the_fern-details-igatpuri.html","https://www.booking.com/hotel/in/hotel-room-rakabi-the-fern.html","https://www.agoda.com/hotel-room-rakabi-the-fern/hotel/igatpuri-in.html","/assets/bathtub-hotel-room-rakabi-the-fern-igatpuri.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Igatpuri Hills Retreat","https://www.makemytrip.com/hotels/igatpuri_hills_retreat-details-igatpuri.html","https://www.booking.com/hotel/in/igatpuri-hills-retreat.html","https://www.agoda.com/igatpuri-hills-retreat/hotel/igatpuri-in.html","/assets/igatpuri-hills-retreat-with-spabath.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Manas Lifestyle Villas With Private Pool In Room","https://www.makemytrip.com/hotels/manas_lifestyle_villas_with_private_pool_in_room-details-igatpuri.html","https://www.booking.com/hotel/in/manas-lifestyle-villas-with-private-pool-in-room.html","https://www.agoda.com/manas-lifestyle-villas-with-private-pool-in-room/hotel/igatpuri-in.html","/assets/manas-lifestyle-villas-igatpuri-with-private-pool-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Mystic Valley Spa Resort","https://www.makemytrip.com/hotels/mystic_valley_spa_resort-details-igatpuri.html","https://www.booking.com/hotel/in/mystic-valley-spa-resort.html","https://www.agoda.com/mystic-valley-spa-resort/hotel/igatpuri-in.html","/assets/mystic-valley-spa-resort-igatpuri-with-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Private Pool Room Manas Lifestyle Villas","https://www.makemytrip.com/hotels/private_pool_room_manas_lifestyle_villas-details-igatpuri.html","https://www.booking.com/hotel/in/private-pool-room-manas-lifestyle-villas.html","https://www.agoda.com/private-pool-room-manas-lifestyle-villas/hotel/igatpuri-in.html","/assets/private-pool-room-manas-lifestyle-villas-igatpuri.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Rakabi The Fern","https://www.makemytrip.com/hotels/rakabi_the_fern-details-igatpuri.html","https://www.booking.com/hotel/in/rakabi-the-fern.html","https://www.agoda.com/rakabi-the-fern/hotel/igatpuri-in.html","/assets/rakabi-the-fern-igatpuri-with-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Regenta Place","https://www.makemytrip.com/hotels/regenta_place-details-igatpuri.html","https://www.booking.com/hotel/in/regenta-place.html","https://www.agoda.com/regenta-place/hotel/igatpuri-in.html","/assets/jacuzzi-room-regenta-place-igatpuri.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Romantic Bathtub Room Mystic Valley Spa Resort","https://www.makemytrip.com/hotels/romantic_bathtub_room_mystic_valley_spa_resort-details-igatpuri.html","https://www.booking.com/hotel/in/romantic-bathtub-room-mystic-valley-spa-resort.html","https://www.agoda.com/romantic-bathtub-room-mystic-valley-spa-resort/hotel/igatpuri-in.html","/assets/romantic-bathtub-room-mystic-valley-spa-resort-igatpuri.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Sierra Sky Villa","https://www.makemytrip.com/hotels/sierra_sky_villa-details-igatpuri.html","https://www.booking.com/hotel/in/sierra-sky-villa.html","https://www.agoda.com/sierra-sky-villa/hotel/igatpuri-in.html","/assets/sierra-sky-villa-igatpuri-with-private-jacuzzi-in-terrace.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Suite Sierra Sky Villa","https://www.makemytrip.com/hotels/suite_sierra_sky_villa-details-igatpuri.html","https://www.booking.com/hotel/in/suite-sierra-sky-villa.html","https://www.agoda.com/suite-sierra-sky-villa/hotel/igatpuri-in.html","/assets/jacuzzi-suite-sierra-sky-villa-igatpuri.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Igatpuri","https://www.hotelswithbathtubs.com/india/igatpuri","Tropical Retreat Luxury Spa Resort","https://www.makemytrip.com/hotels/tropical_retreat_luxury_spa_resort-details-igatpuri.html","https://www.booking.com/hotel/in/tropical-retreat-luxury-spa-resort.html","https://www.agoda.com/tropical-retreat-luxury-spa-resort/hotel/igatpuri-in.html","/assets/bathtub-room-tropical-retreat-luxury-spa-resort-igatpuri.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
