Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Indore","https://www.hotelswithbathtubs.com/india/indore","Hotel Grand Girdhar","https://www.makemytrip.com/hotels/hotel_grand_girdhar-details-indore.html","https://www.booking.com/hotel/in/hotel-grand-girdhar.html","https://www.agoda.com/hotel-grand-girdhar/hotel/indore-in.html","/assets/bathtub-room-indore-hotel-grand-girdhar.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Indore","https://www.hotelswithbathtubs.com/india/indore","Hotel Sayaji","https://www.makemytrip.com/hotels/hotel_sayaji-details-indore.html","https://www.booking.com/hotel/in/hotel-sayaji.html","https://www.agoda.com/hotel-sayaji/hotel/indore-in.html","/assets/hotel-sayaji-indore-with-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Indore","https://www.hotelswithbathtubs.com/india/indore","Hotel Sheraton Grand Palace","https://www.makemytrip.com/hotels/hotel_sheraton_grand_palace-details-indore.html","https://www.booking.com/hotel/in/hotel-sheraton-grand-palace.html","https://www.agoda.com/hotel-sheraton-grand-palace/hotel/indore-in.html","/assets/bathtub-hotel-sheraton-grand-palace-indore.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Indore","https://www.hotelswithbathtubs.com/india/indore","Hotel Winway","https://www.makemytrip.com/hotels/hotel_winway-details-indore.html","https://www.booking.com/hotel/in/hotel-winway.html","https://www.agoda.com/hotel-winway/hotel/indore-in.html","/assets/hotel-winway-indore-with-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Indore","https://www.hotelswithbathtubs.com/india/indore","Indore Marriott Hotel","https://www.makemytrip.com/hotels/indore_marriott_hotel-details-indore.html","https://www.booking.com/hotel/in/indore-marriott-hotel.html","https://www.agoda.com/indore-marriott-hotel/hotel/indore-in.html","/assets/indore-marriott-hotel-with-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Indore","https://www.hotelswithbathtubs.com/india/indore","Lemon Tree Hotel","https://www.makemytrip.com/hotels/lemon_tree_hotel-details-indore.html","https://www.booking.com/hotel/in/lemon-tree-hotel.html","https://www.agoda.com/lemon-tree-hotel/hotel/indore-in.html","/assets/bathtub-room-lemon-tree-hotel-indore.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Indore","https://www.hotelswithbathtubs.com/india/indore","Lemon Tree Hotel Bathtub In Room","https://www.makemytrip.com/hotels/lemon_tree_hotel_bathtub_in_room-details-indore.html","https://www.booking.com/hotel/in/lemon-tree-hotel-bathtub-in-room.html","https://www.agoda.com/lemon-tree-hotel-bathtub-in-room/hotel/indore-in.html","/assets/lemon-tree-hotel-indore-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Indore","https://www.hotelswithbathtubs.com/india/indore","Marriott Hotel","https://www.makemytrip.com/hotels/marriott_hotel-details-indore.html","https://www.booking.com/hotel/in/marriott-hotel.html","https://www.agoda.com/marriott-hotel/hotel/indore-in.html","/assets/bathtub-room-indore-marriott-hotel.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Indore","https://www.hotelswithbathtubs.com/india/indore","Sheraton Grand Palace","https://www.makemytrip.com/hotels/sheraton_grand_palace-details-indore.html","https://www.booking.com/hotel/in/sheraton-grand-palace.html","https://www.agoda.com/sheraton-grand-palace/hotel/indore-in.html","/assets/bathtub-room-sheraton-grand-palace-indore.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Indore","https://www.hotelswithbathtubs.com/india/indore","Wow Crest Ihcl Seleqtions","https://www.makemytrip.com/hotels/wow_crest_ihcl_seleqtions-details-indore.html","https://www.booking.com/hotel/in/wow-crest-ihcl-seleqtions.html","https://www.agoda.com/wow-crest-ihcl-seleqtions/hotel/indore-in.html","/assets/bathtub-room-wow-crest-indore-ihcl-seleqtions.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
