Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Karjat","https://www.hotelswithbathtubs.com/india/karjat","Hillrock Resort Villas Neral","https://www.makemytrip.com/hotels/hillrock_resort_villas_neral-details-karjat.html","https://www.booking.com/hotel/in/hillrock-resort-villas-neral.html","https://www.agoda.com/hillrock-resort-villas-neral/hotel/karjat-in.html","/assets/hillrock-resort-villas-neral-karjat-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Karjat","https://www.hotelswithbathtubs.com/india/karjat","Hotel Room Oleander Farms","https://www.makemytrip.com/hotels/hotel_room_oleander_farms-details-karjat.html","https://www.booking.com/hotel/in/hotel-room-oleander-farms.html","https://www.agoda.com/hotel-room-oleander-farms/hotel/karjat-in.html","/assets/bathtub-hotel-room-oleander-farms-karjat.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Karjat","https://www.hotelswithbathtubs.com/india/karjat","Hotel The Kanila Resort","https://www.makemytrip.com/hotels/hotel_the_kanila_resort-details-karjat.html","https://www.booking.com/hotel/in/hotel-the-kanila-resort.html","https://www.agoda.com/hotel-the-kanila-resort/hotel/karjat-in.html","/assets/bathtub-hotel-karjat-the-kanila-resort.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Karjat","https://www.hotelswithbathtubs.com/india/karjat","Hut Staycation","https://www.makemytrip.com/hotels/hut_staycation-details-karjat.html","https://www.booking.com/hotel/in/hut-staycation.html","https://www.agoda.com/hut-staycation/hotel/karjat-in.html","/assets/jacuzzi-hut-staycation-karjat-with-hot-tub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Karjat","https://www.hotelswithbathtubs.com/india/karjat","Oleander Farms","https://www.makemytrip.com/hotels/oleander_farms-details-karjat.html","https://www.booking.com/hotel/in/oleander-farms.html","https://www.agoda.com/oleander-farms/hotel/karjat-in.html","/assets/oleander-farms-karjat-with-bathtub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Karjat","https://www.hotelswithbathtubs.com/india/karjat","Radisson Blu Plaza Resort Convention Centre","https://www.makemytrip.com/hotels/radisson_blu_plaza_resort_convention_centre-details-karjat.html","https://www.booking.com/hotel/in/radisson-blu-plaza-resort-convention-centre.html","https://www.agoda.com/radisson-blu-plaza-resort-convention-centre/hotel/karjat-in.html","/assets/jacuzzi-radisson-blu-plaza-resort-convention-centre-karjat.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Karjat","https://www.hotelswithbathtubs.com/india/karjat","Romantic Jacuzzi Room Touchwood Villa Khalapur","https://www.makemytrip.com/hotels/romantic_jacuzzi_room_touchwood_villa_khalapur-details-karjat.html","https://www.booking.com/hotel/in/romantic-jacuzzi-room-touchwood-villa-khalapur.html","https://www.agoda.com/romantic-jacuzzi-room-touchwood-villa-khalapur/hotel/karjat-in.html","/assets/romantic-jacuzzi-room-touchwood-villa-karjat-khalapur.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Karjat","https://www.hotelswithbathtubs.com/india/karjat","Teak Resort","https://www.makemytrip.com/hotels/teak_resort-details-karjat.html","https://www.booking.com/hotel/in/teak-resort.html","https://www.agoda.com/teak-resort/hotel/karjat-in.html","/assets/hot-tub-room-teak-resort-karjat.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Karjat","https://www.hotelswithbathtubs.com/india/karjat","The Kanila Resort","https://www.makemytrip.com/hotels/the_kanila_resort-details-karjat.html","https://www.booking.com/hotel/in/the-kanila-resort.html","https://www.agoda.com/the-kanila-resort/hotel/karjat-in.html","/assets/the-kanila-resort-karjat-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Karjat","https://www.hotelswithbathtubs.com/india/karjat","Touchwood Villa Khalapur","https://www.makemytrip.com/hotels/touchwood_villa_khalapur-details-karjat.html","https://www.booking.com/hotel/in/touchwood-villa-khalapur.html","https://www.agoda.com/touchwood-villa-khalapur/hotel/karjat-in.html","/assets/touchwood-villa-karjat-khalapur-with-spabath-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
