Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Kochi","https://www.hotelswithbathtubs.com/india/kochi","Brunton Boatyard","https://www.makemytrip.com/hotels/brunton_boatyard-details-kochi.html","https://www.booking.com/hotel/in/brunton-boatyard.html","https://www.agoda.com/brunton-boatyard/hotel/kochi-in.html","https://pix8.agoda.net/hotelImages/1620577/-1/b66e1335cb99f187a04944d18ff8eb41.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kochi","https://www.hotelswithbathtubs.com/india/kochi","Crowne Plaza An Ihg Hotel","https://www.makemytrip.com/hotels/crowne_plaza_an_ihg_hotel-details-kochi.html","https://www.booking.com/hotel/in/crowne-plaza-an-ihg-hotel.html","https://www.agoda.com/crowne-plaza-an-ihg-hotel/hotel/kochi-in.html","/assets/bathtub-room-crowne-plaza-kochi-an-ihg-hotel.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kochi","https://www.hotelswithbathtubs.com/india/kochi","Forte","https://www.makemytrip.com/hotels/forte-details-kochi.html","https://www.booking.com/hotel/in/forte.html","https://www.agoda.com/forte/hotel/kochi-in.html","/assets/bathtub-romantic-hotel-forte-kochi.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kochi","https://www.hotelswithbathtubs.com/india/kochi","Hotel Monsoon Empress","https://www.makemytrip.com/hotels/hotel_monsoon_empress-details-kochi.html","https://www.booking.com/hotel/in/hotel-monsoon-empress.html","https://www.agoda.com/hotel-monsoon-empress/hotel/kochi-in.html","/assets/hotel-monsoon-empress-kochi-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kochi","https://www.hotelswithbathtubs.com/india/kochi","Hotel Olive Downtown","https://www.makemytrip.com/hotels/hotel_olive_downtown-details-kochi.html","https://www.booking.com/hotel/in/hotel-olive-downtown.html","https://www.agoda.com/hotel-olive-downtown/hotel/kochi-in.html","/assets/jacuzzi-hotel-olive-downtown-kochi.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kochi","https://www.hotelswithbathtubs.com/india/kochi","Hotel The Postcard Mandalay Hall","https://www.makemytrip.com/hotels/hotel_the_postcard_mandalay_hall-details-kochi.html","https://www.booking.com/hotel/in/hotel-the-postcard-mandalay-hall.html","https://www.agoda.com/hotel-the-postcard-mandalay-hall/hotel/kochi-in.html","/assets/bathtub-hotel-the-postcard-mandalay-hall-kochi.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kochi","https://www.hotelswithbathtubs.com/india/kochi","Kochi Marriott Hotel","https://www.makemytrip.com/hotels/kochi_marriott_hotel-details-kochi.html","https://www.booking.com/hotel/in/kochi-marriott-hotel.html","https://www.agoda.com/kochi-marriott-hotel/hotel/kochi-in.html","/assets/kochi-marriott-hotel-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kochi","https://www.hotelswithbathtubs.com/india/kochi","Marriott Hotel","https://www.makemytrip.com/hotels/marriott_hotel-details-kochi.html","https://www.booking.com/hotel/in/marriott-hotel.html","https://www.agoda.com/marriott-hotel/hotel/kochi-in.html","/assets/jacuzzi-room-kochi-marriott-hotel.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kochi","https://www.hotelswithbathtubs.com/india/kochi","Olive Downtown","https://www.makemytrip.com/hotels/olive_downtown-details-kochi.html","https://www.booking.com/hotel/in/olive-downtown.html","https://www.agoda.com/olive-downtown/hotel/kochi-in.html","/assets/olive-downtown-kochi-with-jacuzzi-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kochi","https://www.hotelswithbathtubs.com/india/kochi","Ramada Resort By Wyndham","https://www.makemytrip.com/hotels/ramada_resort_by_wyndham-details-kochi.html","https://www.booking.com/hotel/in/ramada-resort-by-wyndham.html","https://www.agoda.com/ramada-resort-by-wyndham/hotel/kochi-in.html","/assets/jacuzzi-room-ramada-resort-by-wyndham-kochi.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
