Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Kolkata","https://www.hotelswithbathtubs.com/india/kolkata","Bathtub Jw Marriott Hotel","https://www.makemytrip.com/hotels/bathtub_jw_marriott_hotel-details-kolkata.html","https://www.booking.com/hotel/in/bathtub-jw-marriott-hotel.html","https://www.agoda.com/bathtub-jw-marriott-hotel/hotel/kolkata-in.html","/assets/room-bathtub-jw-marriott-hotel-kolkata.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kolkata","https://www.hotelswithbathtubs.com/india/kolkata","Hotel Calcutta Bungalow","https://www.makemytrip.com/hotels/hotel_calcutta_bungalow-details-kolkata.html","https://www.booking.com/hotel/in/hotel-calcutta-bungalow.html","https://www.agoda.com/hotel-calcutta-bungalow/hotel/kolkata-in.html","/assets/bathtub-hotel-calcutta-bungalow-kolkata.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kolkata","https://www.hotelswithbathtubs.com/india/kolkata","Hotel Hyatt Regency","https://www.makemytrip.com/hotels/hotel_hyatt_regency-details-kolkata.html","https://www.booking.com/hotel/in/hotel-hyatt-regency.html","https://www.agoda.com/hotel-hyatt-regency/hotel/kolkata-in.html","/assets/bathtub-hotel-hyatt-regency-kolkata.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kolkata","https://www.hotelswithbathtubs.com/india/kolkata","Hotel The Westin Rajarhat","https://www.makemytrip.com/hotels/hotel_the_westin_rajarhat-details-kolkata.html","https://www.booking.com/hotel/in/hotel-the-westin-rajarhat.html","https://www.agoda.com/hotel-the-westin-rajarhat/hotel/kolkata-in.html","/assets/bathtub-hotel-the-westin-kolkata-rajarhat.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kolkata","https://www.hotelswithbathtubs.com/india/kolkata","Hothtub Hotel The Westin Rajarhat","https://www.makemytrip.com/hotels/hothtub_hotel_the_westin_rajarhat-details-kolkata.html","https://www.booking.com/hotel/in/hothtub-hotel-the-westin-rajarhat.html","https://www.agoda.com/hothtub-hotel-the-westin-rajarhat/hotel/kolkata-in.html","/assets/hothtub-hotel-the-westin-kolkata-rajarhat.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kolkata","https://www.hotelswithbathtubs.com/india/kolkata","Itc Sonar A Luxury Collection Hotel","https://www.makemytrip.com/hotels/itc_sonar_a_luxury_collection_hotel-details-kolkata.html","https://www.booking.com/hotel/in/itc-sonar-a-luxury-collection-hotel.html","https://www.agoda.com/itc-sonar-a-luxury-collection-hotel/hotel/kolkata-in.html","/assets/bathtub-itc-sonar-a-luxury-collection-hotel-kolkata.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kolkata","https://www.hotelswithbathtubs.com/india/kolkata","Jw Marriott Hotel","https://www.makemytrip.com/hotels/jw_marriott_hotel-details-kolkata.html","https://www.booking.com/hotel/in/jw-marriott-hotel.html","https://www.agoda.com/jw-marriott-hotel/hotel/kolkata-in.html","/assets/bathtub-jw-marriott-hotel-kolkata.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kolkata","https://www.hotelswithbathtubs.com/india/kolkata","Kenilworth Hotel","https://www.makemytrip.com/hotels/kenilworth_hotel-details-kolkata.html","https://www.booking.com/hotel/in/kenilworth-hotel.html","https://www.agoda.com/kenilworth-hotel/hotel/kolkata-in.html","/assets/bathtub-kenilworth-hotel-kolkata.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kolkata","https://www.hotelswithbathtubs.com/india/kolkata","Novotel Hotel And Residences","https://www.makemytrip.com/hotels/novotel_hotel_and_residences-details-kolkata.html","https://www.booking.com/hotel/in/novotel-hotel-and-residences.html","https://www.agoda.com/novotel-hotel-and-residences/hotel/kolkata-in.html","/assets/bathtub-novotel-kolkata-hotel-and-residences.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Kolkata","https://www.hotelswithbathtubs.com/india/kolkata","Romantic Bathtub Itc Sonar A Luxury Collection Hotel","https://www.makemytrip.com/hotels/romantic_bathtub_itc_sonar_a_luxury_collection_hotel-details-kolkata.html","https://www.booking.com/hotel/in/romantic-bathtub-itc-sonar-a-luxury-collection-hotel.html","https://www.agoda.com/romantic-bathtub-itc-sonar-a-luxury-collection-hotel/hotel/kolkata-in.html","/assets/romantic-bathtub-itc-sonar-a-luxury-collection-hotel-kolkata.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
