Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Lonavala","https://www.hotelswithbathtubs.com/india/lonavala","Aamby Valley City","https://www.makemytrip.com/hotels/aamby_valley_city-details-lonavala.html","https://www.booking.com/hotel/in/aamby-valley-city.html","https://www.agoda.com/aamby-valley-city/hotel/lonavala-in.html","/assets/jacuzzi-aamby-valley-city-lonavala.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Lonavala","https://www.hotelswithbathtubs.com/india/lonavala","Della Resorts","https://www.makemytrip.com/hotels/della_resorts-details-lonavala.html","https://www.booking.com/hotel/in/della-resorts.html","https://www.agoda.com/della-resorts/hotel/lonavala-in.html","/assets/bathtub-della-resorts-lonavala.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Lonavala","https://www.hotelswithbathtubs.com/india/lonavala","Hilton Shillim Estate Retreat And Spa","https://www.makemytrip.com/hotels/hilton_shillim_estate_retreat_and_spa-details-lonavala.html","https://www.booking.com/hotel/in/hilton-shillim-estate-retreat-and-spa.html","https://www.agoda.com/hilton-shillim-estate-retreat-and-spa/hotel/lonavala-in.html","/assets/hilton-shillim-estate-retreat-and-spa-lonavala-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Lonavala","https://www.hotelswithbathtubs.com/india/lonavala","Hotel Aamby Valley City","https://www.makemytrip.com/hotels/hotel_aamby_valley_city-details-lonavala.html","https://www.booking.com/hotel/in/hotel-aamby-valley-city.html","https://www.agoda.com/hotel-aamby-valley-city/hotel/lonavala-in.html","https://pix8.agoda.net/hotelImages/60074/-1/6c3a5266838848d7950c40683a31c518.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Lonavala","https://www.hotelswithbathtubs.com/india/lonavala","Hotel Hilton Shillim Estate Retreat And Spa","https://www.makemytrip.com/hotels/hotel_hilton_shillim_estate_retreat_and_spa-details-lonavala.html","https://www.booking.com/hotel/in/hotel-hilton-shillim-estate-retreat-and-spa.html","https://www.agoda.com/hotel-hilton-shillim-estate-retreat-and-spa/hotel/lonavala-in.html","/assets/bathtub-hotel-hilton-shillim-estate-retreat-and-spa-lonavala.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Lonavala","https://www.hotelswithbathtubs.com/india/lonavala","Hotel Nostravila","https://www.makemytrip.com/hotels/hotel_nostravila-details-lonavala.html","https://www.booking.com/hotel/in/hotel-nostravila.html","https://www.agoda.com/hotel-nostravila/hotel/lonavala-in.html","/assets/hotel-nostravila-lonavala-with-jacuzzi-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Lonavala","https://www.hotelswithbathtubs.com/india/lonavala","Juvana Resort Spa Aamby Valley City","https://www.makemytrip.com/hotels/juvana_resort_spa_aamby_valley_city-details-lonavala.html","https://www.booking.com/hotel/in/juvana-resort-spa-aamby-valley-city.html","https://www.agoda.com/juvana-resort-spa-aamby-valley-city/hotel/lonavala-in.html","/assets/juvana-resort-spa-aamby-valley-city-lonavala-with-jacuzzi.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Lonavala","https://www.hotelswithbathtubs.com/india/lonavala","Nostravila","https://www.makemytrip.com/hotels/nostravila-details-lonavala.html","https://www.booking.com/hotel/in/nostravila.html","https://www.agoda.com/nostravila/hotel/lonavala-in.html","/assets/hot-tub-nostravila-lonavala.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Lonavala","https://www.hotelswithbathtubs.com/india/lonavala","Romantic Bathtub Della Resorts","https://www.makemytrip.com/hotels/romantic_bathtub_della_resorts-details-lonavala.html","https://www.booking.com/hotel/in/romantic-bathtub-della-resorts.html","https://www.agoda.com/romantic-bathtub-della-resorts/hotel/lonavala-in.html","/assets/romantic-bathtub-della-resorts-lonavala.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Lonavala","https://www.hotelswithbathtubs.com/india/lonavala","With Hothtub Della Resorts","https://www.makemytrip.com/hotels/with_hothtub_della_resorts-details-lonavala.html","https://www.booking.com/hotel/in/with-hothtub-della-resorts.html","https://www.agoda.com/with-hothtub-della-resorts/hotel/lonavala-in.html","/assets/room-with-hothtub-della-resorts-lonavala.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
