Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Courtyard By Marriott","https://www.makemytrip.com/hotels/courtyard_by_marriott-details-nashik.html","https://www.booking.com/hotel/in/courtyard-by-marriott.html","https://www.agoda.com/courtyard-by-marriott/hotel/nashik-in.html","/assets/bathtub-room-courtyard-by-marriott-nashik.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Express Inn The Business Luxury Hotel","https://www.makemytrip.com/hotels/express_inn_the_business_luxury_hotel-details-nashik.html","https://www.booking.com/hotel/in/express-inn-the-business-luxury-hotel.html","https://www.agoda.com/express-inn-the-business-luxury-hotel/hotel/nashik-in.html","/assets/express-inn-the-business-luxury-hotel-nashik-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Freesia Resort By Express Inn","https://www.makemytrip.com/hotels/freesia_resort_by_express_inn-details-nashik.html","https://www.booking.com/hotel/in/freesia-resort-by-express-inn.html","https://www.agoda.com/freesia-resort-by-express-inn/hotel/nashik-in.html","/assets/freesia-resort-by-express-inn-nashik-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Grape County Eco Resort Spa","https://www.makemytrip.com/hotels/grape_county_eco_resort_spa-details-nashik.html","https://www.booking.com/hotel/in/grape-county-eco-resort-spa.html","https://www.agoda.com/grape-county-eco-resort-spa/hotel/nashik-in.html","/assets/bathtub-room-grape-county-eco-resort-spa-nashik.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Hotel Courtyard By Marriott","https://www.makemytrip.com/hotels/hotel_courtyard_by_marriott-details-nashik.html","https://www.booking.com/hotel/in/hotel-courtyard-by-marriott.html","https://www.agoda.com/hotel-courtyard-by-marriott/hotel/nashik-in.html","/assets/bathtub-hotel-courtyard-by-marriott-nashik.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Hotel Express Inn The Business Luxury Hotel","https://www.makemytrip.com/hotels/hotel_express_inn_the_business_luxury_hotel-details-nashik.html","https://www.booking.com/hotel/in/hotel-express-inn-the-business-luxury-hotel.html","https://www.agoda.com/hotel-express-inn-the-business-luxury-hotel/hotel/nashik-in.html","/assets/bathtub-hotel-nashik-express-inn-the-business-luxury-hotel.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Hotel Grape County Eco Resort Spa","https://www.makemytrip.com/hotels/hotel_grape_county_eco_resort_spa-details-nashik.html","https://www.booking.com/hotel/in/hotel-grape-county-eco-resort-spa.html","https://www.agoda.com/hotel-grape-county-eco-resort-spa/hotel/nashik-in.html","/assets/hotel-grape-county-eco-resort-spa-nashik-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Hotel Room Viveda Wellness Resort","https://www.makemytrip.com/hotels/hotel_room_viveda_wellness_resort-details-nashik.html","https://www.booking.com/hotel/in/hotel-room-viveda-wellness-resort.html","https://www.agoda.com/hotel-room-viveda-wellness-resort/hotel/nashik-in.html","/assets/jacuzzi-hotel-room-viveda-wellness-resort-nashik.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","In Room Freesia Resort By Express Inn","https://www.makemytrip.com/hotels/in_room_freesia_resort_by_express_inn-details-nashik.html","https://www.booking.com/hotel/in/in-room-freesia-resort-by-express-inn.html","https://www.agoda.com/in-room-freesia-resort-by-express-inn/hotel/nashik-in.html","/assets/bathtub-in-room-freesia-resort-by-express-inn-nashik.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Radisson Blu Hotel Spa","https://www.makemytrip.com/hotels/radisson_blu_hotel_spa-details-nashik.html","https://www.booking.com/hotel/in/radisson-blu-hotel-spa.html","https://www.agoda.com/radisson-blu-hotel-spa/hotel/nashik-in.html","/assets/bathtub-room-radisson-blu-hotel-spa-nashik.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Regenta Resort Soma Vine Village","https://www.makemytrip.com/hotels/regenta_resort_soma_vine_village-details-nashik.html","https://www.booking.com/hotel/in/regenta-resort-soma-vine-village.html","https://www.agoda.com/regenta-resort-soma-vine-village/hotel/nashik-in.html","/assets/bathtub-regenta-resort-soma-vine-village-nashik.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Romantic Bathtub Freesia Resort By Express Inn","https://www.makemytrip.com/hotels/romantic_bathtub_freesia_resort_by_express_inn-details-nashik.html","https://www.booking.com/hotel/in/romantic-bathtub-freesia-resort-by-express-inn.html","https://www.agoda.com/romantic-bathtub-freesia-resort-by-express-inn/hotel/nashik-in.html","https://pix8.agoda.net/hotelImages/159840/-1/3c2a8b9409df8c42bca1c3905cf7e8b9.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Romantic Spabath Express Inn The Business Luxury Hotel","https://www.makemytrip.com/hotels/romantic_spabath_express_inn_the_business_luxury_hotel-details-nashik.html","https://www.booking.com/hotel/in/romantic-spabath-express-inn-the-business-luxury-hotel.html","https://www.agoda.com/romantic-spabath-express-inn-the-business-luxury-hotel/hotel/nashik-in.html","/assets/romantic-spabath-nashik-express-inn-the-business-luxury-hotel.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","The Ssk Solitaire Hotel Banquets","https://www.makemytrip.com/hotels/the_ssk_solitaire_hotel_banquets-details-nashik.html","https://www.booking.com/hotel/in/the-ssk-solitaire-hotel-banquets.html","https://www.agoda.com/the-ssk-solitaire-hotel-banquets/hotel/nashik-in.html","/assets/bathtub-the-ssk-solitaire-hotel-banquets-nashik.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Treat Hotel City Center","https://www.makemytrip.com/hotels/treat_hotel_city_center-details-nashik.html","https://www.booking.com/hotel/in/treat-hotel-city-center.html","https://www.agoda.com/treat-hotel-city-center/hotel/nashik-in.html","/assets/bathtub-room-treat-hotel-nashik-city-center.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Viveda Wellness Resort","https://www.makemytrip.com/hotels/viveda_wellness_resort-details-nashik.html","https://www.booking.com/hotel/in/viveda-wellness-resort.html","https://www.agoda.com/viveda-wellness-resort/hotel/nashik-in.html","/assets/jacuzzi-room-nashik-viveda-wellness-resort.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Nashik","https://www.hotelswithbathtubs.com/india/nashik","Viveda Wellness Resort 2","https://www.makemytrip.com/hotels/viveda_wellness_resort_2-details-nashik.html","https://www.booking.com/hotel/in/viveda-wellness-resort-2.html","https://www.agoda.com/viveda-wellness-resort-2/hotel/nashik-in.html","/assets/hottub-viveda-wellness-resort-nashik-2.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
