Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Panchgani","https://www.hotelswithbathtubs.com/india/panchgani","Antilia Villa Luxurious Ac Swimming Pool","https://www.makemytrip.com/hotels/antilia_villa_luxurious_ac_swimming_pool-details-panchgani.html","https://www.booking.com/hotel/in/antilia-villa-luxurious-ac-swimming-pool.html","https://www.agoda.com/antilia-villa-luxurious-ac-swimming-pool/hotel/panchgani-in.html","/assets/antilia-villa-luxurious-ac-swimming-pool-panchgani-with-hot-tub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Panchgani","https://www.hotelswithbathtubs.com/india/panchgani","Coral Villa","https://www.makemytrip.com/hotels/coral_villa-details-panchgani.html","https://www.booking.com/hotel/in/coral-villa.html","https://www.agoda.com/coral-villa/hotel/panchgani-in.html","/assets/coral-villa-panchgani-with-jacuzzi.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Panchgani","https://www.hotelswithbathtubs.com/india/panchgani","Hillview Rooms By 29 Bungalow","https://www.makemytrip.com/hotels/hillview_rooms_by_29_bungalow-details-panchgani.html","https://www.booking.com/hotel/in/hillview-rooms-by-29-bungalow.html","https://www.agoda.com/hillview-rooms-by-29-bungalow/hotel/panchgani-in.html","/assets/hillview-rooms-by-29-bungalow-panchgani-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Panchgani","https://www.hotelswithbathtubs.com/india/panchgani","Hillview Rooms By 29 Bungalow Bathtub","https://www.makemytrip.com/hotels/hillview_rooms_by_29_bungalow_bathtub-details-panchgani.html","https://www.booking.com/hotel/in/hillview-rooms-by-29-bungalow-bathtub.html","https://www.agoda.com/hillview-rooms-by-29-bungalow-bathtub/hotel/panchgani-in.html","/assets/hillview-rooms-by-29-bungalow-bathtub-panchgani.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Panchgani","https://www.hotelswithbathtubs.com/india/panchgani","Hotel Hillview Rooms By 29 Bungalow","https://www.makemytrip.com/hotels/hotel_hillview_rooms_by_29_bungalow-details-panchgani.html","https://www.booking.com/hotel/in/hotel-hillview-rooms-by-29-bungalow.html","https://www.agoda.com/hotel-hillview-rooms-by-29-bungalow/hotel/panchgani-in.html","/assets/bathtub-hotel-hillview-rooms-by-29-bungalow-panchgani.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Panchgani","https://www.hotelswithbathtubs.com/india/panchgani","Hotel The Cliff By Zuper","https://www.makemytrip.com/hotels/hotel_the_cliff_by_zuper-details-panchgani.html","https://www.booking.com/hotel/in/hotel-the-cliff-by-zuper.html","https://www.agoda.com/hotel-the-cliff-by-zuper/hotel/panchgani-in.html","/assets/bathtub-hotel-the-cliff-by-zuper-panchgani.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Panchgani","https://www.hotelswithbathtubs.com/india/panchgani","Hotel Wandr Tabletop","https://www.makemytrip.com/hotels/hotel_wandr_tabletop-details-panchgani.html","https://www.booking.com/hotel/in/hotel-wandr-tabletop.html","https://www.agoda.com/hotel-wandr-tabletop/hotel/panchgani-in.html","/assets/hotel-wandr-tabletop-panchgani-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Panchgani","https://www.hotelswithbathtubs.com/india/panchgani","Panchgani Antilia Villa Luxurious Ac Swimming Pool","https://www.makemytrip.com/hotels/panchgani_antilia_villa_luxurious_ac_swimming_pool-details-panchgani.html","https://www.booking.com/hotel/in/panchgani-antilia-villa-luxurious-ac-swimming-pool.html","https://www.agoda.com/panchgani-antilia-villa-luxurious-ac-swimming-pool/hotel/panchgani-in.html","/assets/jacuzzi-panchgani-antilia-villa-luxurious-ac-swimming-pool.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Panchgani","https://www.hotelswithbathtubs.com/india/panchgani","R Villa","https://www.makemytrip.com/hotels/r_villa-details-panchgani.html","https://www.booking.com/hotel/in/r-villa.html","https://www.agoda.com/r-villa/hotel/panchgani-in.html","/assets/r-villa-panchgani-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Panchgani","https://www.hotelswithbathtubs.com/india/panchgani","Sabo Resort","https://www.makemytrip.com/hotels/sabo_resort-details-panchgani.html","https://www.booking.com/hotel/in/sabo-resort.html","https://www.agoda.com/sabo-resort/hotel/panchgani-in.html","/assets/bath-tub-room-sabo-resort-panchgani.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
