Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Rajkot","https://www.hotelswithbathtubs.com/india/rajkot","Heritage Khirasara Palace","https://www.makemytrip.com/hotels/heritage_khirasara_palace-details-rajkot.html","https://www.booking.com/hotel/in/heritage-khirasara-palace.html","https://www.agoda.com/heritage-khirasara-palace/hotel/rajkot-in.html","/assets/bathtub-heritage-khirasara-palace-rajkot.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rajkot","https://www.hotelswithbathtubs.com/india/rajkot","Hotel Nova Bizz","https://www.makemytrip.com/hotels/hotel_nova_bizz-details-rajkot.html","https://www.booking.com/hotel/in/hotel-nova-bizz.html","https://www.agoda.com/hotel-nova-bizz/hotel/rajkot-in.html","/assets/hot-tub-room-hotel-nova-bizz-rajkot.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rajkot","https://www.hotelswithbathtubs.com/india/rajkot","Hotel Nova Bling","https://www.makemytrip.com/hotels/hotel_nova_bling-details-rajkot.html","https://www.booking.com/hotel/in/hotel-nova-bling.html","https://www.agoda.com/hotel-nova-bling/hotel/rajkot-in.html","/assets/hotel-nova-bling-rajkot-with-hottub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rajkot","https://www.hotelswithbathtubs.com/india/rajkot","Hotel Nova Bliss","https://www.makemytrip.com/hotels/hotel_nova_bliss-details-rajkot.html","https://www.booking.com/hotel/in/hotel-nova-bliss.html","https://www.agoda.com/hotel-nova-bliss/hotel/rajkot-in.html","/assets/hotel-nova-bliss-rajkot-with-hottub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rajkot","https://www.hotelswithbathtubs.com/india/rajkot","Hotel Nova Bliss With Spa Jacuzzi","https://www.makemytrip.com/hotels/hotel_nova_bliss_with_spa_jacuzzi-details-rajkot.html","https://www.booking.com/hotel/in/hotel-nova-bliss-with-spa-jacuzzi.html","https://www.agoda.com/hotel-nova-bliss-with-spa-jacuzzi/hotel/rajkot-in.html","/assets/hotel-nova-bliss-rajkot-with-spa-jacuzzi.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rajkot","https://www.hotelswithbathtubs.com/india/rajkot","Hotel Nova Boutique","https://www.makemytrip.com/hotels/hotel_nova_boutique-details-rajkot.html","https://www.booking.com/hotel/in/hotel-nova-boutique.html","https://www.agoda.com/hotel-nova-boutique/hotel/rajkot-in.html","/assets/hotel-nova-boutique-rajkot-with-hot-tub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rajkot","https://www.hotelswithbathtubs.com/india/rajkot","Hotel Nova Boutique With Spa Bath","https://www.makemytrip.com/hotels/hotel_nova_boutique_with_spa_bath-details-rajkot.html","https://www.booking.com/hotel/in/hotel-nova-boutique-with-spa-bath.html","https://www.agoda.com/hotel-nova-boutique-with-spa-bath/hotel/rajkot-in.html","/assets/hotel-nova-boutique-rajkot-with-spa-bath.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rajkot","https://www.hotelswithbathtubs.com/india/rajkot","Hotel Nova Park","https://www.makemytrip.com/hotels/hotel_nova_park-details-rajkot.html","https://www.booking.com/hotel/in/hotel-nova-park.html","https://www.agoda.com/hotel-nova-park/hotel/rajkot-in.html","/assets/jacuzzi-hotel-nova-park-rajkot.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rajkot","https://www.hotelswithbathtubs.com/india/rajkot","Hotel Room The Imperial Palace","https://www.makemytrip.com/hotels/hotel_room_the_imperial_palace-details-rajkot.html","https://www.booking.com/hotel/in/hotel-room-the-imperial-palace.html","https://www.agoda.com/hotel-room-the-imperial-palace/hotel/rajkot-in.html","/assets/jacuzzi-hotel-room-the-imperial-palace-rajkot.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rajkot","https://www.hotelswithbathtubs.com/india/rajkot","Hotel Royal Orbit","https://www.makemytrip.com/hotels/hotel_royal_orbit-details-rajkot.html","https://www.booking.com/hotel/in/hotel-royal-orbit.html","https://www.agoda.com/hotel-royal-orbit/hotel/rajkot-in.html","/assets/bathtub-room-rajkot-hotel-royal-orbit.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
