Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Rishikesh","https://www.hotelswithbathtubs.com/india/rishikesh","Aloha On The Ganges By Leisure Hotels","https://www.makemytrip.com/hotels/aloha_on_the_ganges_by_leisure_hotels-details-rishikesh.html","https://www.booking.com/hotel/in/aloha-on-the-ganges-by-leisure-hotels.html","https://www.agoda.com/aloha-on-the-ganges-by-leisure-hotels/hotel/rishikesh-in.html","/assets/aloha-on-the-ganges-by-leisure-hotels-rishikesh-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rishikesh","https://www.hotelswithbathtubs.com/india/rishikesh","Antalya","https://www.makemytrip.com/hotels/antalya-details-rishikesh.html","https://www.booking.com/hotel/in/antalya.html","https://www.agoda.com/antalya/hotel/rishikesh-in.html","/assets/bathtub-room-antalya-rishikesh.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rishikesh","https://www.hotelswithbathtubs.com/india/rishikesh","Ganga Kinare A Riverside Boutique Resort","https://www.makemytrip.com/hotels/ganga_kinare_a_riverside_boutique_resort-details-rishikesh.html","https://www.booking.com/hotel/in/ganga-kinare-a-riverside-boutique-resort.html","https://www.agoda.com/ganga-kinare-a-riverside-boutique-resort/hotel/rishikesh-in.html","/assets/bathtub-ganga-kinare-a-riverside-boutique-resort-rishikesh.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rishikesh","https://www.hotelswithbathtubs.com/india/rishikesh","Hotel Antalya","https://www.makemytrip.com/hotels/hotel_antalya-details-rishikesh.html","https://www.booking.com/hotel/in/hotel-antalya.html","https://www.agoda.com/hotel-antalya/hotel/rishikesh-in.html","/assets/bathtub-room-hotel-antalya-rishikesh.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rishikesh","https://www.hotelswithbathtubs.com/india/rishikesh","Hotel Raga On The Ganges","https://www.makemytrip.com/hotels/hotel_raga_on_the_ganges-details-rishikesh.html","https://www.booking.com/hotel/in/hotel-raga-on-the-ganges.html","https://www.agoda.com/hotel-raga-on-the-ganges/hotel/rishikesh-in.html","/assets/hotel-raga-on-the-ganges-rishikesh-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rishikesh","https://www.hotelswithbathtubs.com/india/rishikesh","Hotel Regenta Inn On The Ganges","https://www.makemytrip.com/hotels/hotel_regenta_inn_on_the_ganges-details-rishikesh.html","https://www.booking.com/hotel/in/hotel-regenta-inn-on-the-ganges.html","https://www.agoda.com/hotel-regenta-inn-on-the-ganges/hotel/rishikesh-in.html","/assets/jacuzzi-room-hotel-regenta-inn-on-the-ganges-rishikesh.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rishikesh","https://www.hotelswithbathtubs.com/india/rishikesh","Hotel Room Raga On The Ganges","https://www.makemytrip.com/hotels/hotel_room_raga_on_the_ganges-details-rishikesh.html","https://www.booking.com/hotel/in/hotel-room-raga-on-the-ganges.html","https://www.agoda.com/hotel-room-raga-on-the-ganges/hotel/rishikesh-in.html","/assets/bathtub-hotel-room-raga-on-the-ganges-rishikesh.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rishikesh","https://www.hotelswithbathtubs.com/india/rishikesh","Hotel The Narayana Sanctuary Luxe Poolside Suites By Salvus","https://www.makemytrip.com/hotels/hotel_the_narayana_sanctuary_luxe_poolside_suites_by_salvus-details-rishikesh.html","https://www.booking.com/hotel/in/hotel-the-narayana-sanctuary-luxe-poolside-suites-by-salvus.html","https://www.agoda.com/hotel-the-narayana-sanctuary-luxe-poolside-suites-by-salvus/hotel/rishikesh-in.html","/assets/bathtub-hotel-rishikesh-the-narayana-sanctuary-luxe-poolside-suites-by-salvus.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rishikesh","https://www.hotelswithbathtubs.com/india/rishikesh","Hotel The Neeraj Ganga Cottages","https://www.makemytrip.com/hotels/hotel_the_neeraj_ganga_cottages-details-rishikesh.html","https://www.booking.com/hotel/in/hotel-the-neeraj-ganga-cottages.html","https://www.agoda.com/hotel-the-neeraj-ganga-cottages/hotel/rishikesh-in.html","/assets/bath-tub-hotel-the-neeraj-ganga-cottages-rishikesh.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Rishikesh","https://www.hotelswithbathtubs.com/india/rishikesh","Hotel The Westin Resort Spa Himalayas","https://www.makemytrip.com/hotels/hotel_the_westin_resort_spa_himalayas-details-rishikesh.html","https://www.booking.com/hotel/in/hotel-the-westin-resort-spa-himalayas.html","https://www.agoda.com/hotel-the-westin-resort-spa-himalayas/hotel/rishikesh-in.html","/assets/bathtub-hotel-rishikesh-the-westin-resort-spa-himalayas.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
