Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"Australia","Sydney","https://www.hotelswithbathtubs.com/australia/sydney","Crown Towers Sydney, Barangaroo","https://www.booking.com/hotel/au/crown-towers-sydney.html","https://www.booking.com/hotel/au/crown-towers-sydney.html","https://www.agoda.com/crown-towers-sydney/hotel/sydney-au.html","https://pix8.agoda.net/hotelImages/4904006/-1/88835849cbca6b6ea17ebcbda51e44ef.jpg","Agoda CDN","YES","Custom Sculptural Oval Harbour Tub","4.9","620","READY FOR REVIEW",""
"Australia","Sydney","https://www.hotelswithbathtubs.com/australia/sydney","Park Hyatt Sydney","https://www.booking.com/hotel/au/park-hyatt-sydney.html","https://www.booking.com/hotel/au/park-hyatt-sydney.html","https://www.agoda.com/park-hyatt-sydney/hotel/sydney-au.html","https://pix8.agoda.net/hotelImages/61822/-1/59a68bc01d1df2623a6f9cb89c922da9.jpg","Agoda CDN","YES","Sculptural Egg-Shaped Harbor Tub","4.9","680","READY FOR REVIEW",""
"Australia","Sydney","https://www.hotelswithbathtubs.com/australia/sydney","The Langham, Sydney","https://www.booking.com/hotel/au/the-observatory.html","https://www.booking.com/hotel/au/the-observatory.html","https://www.agoda.com/the-langham-sydney/hotel/sydney-au.html","https://pix8.agoda.net/hotelImages/268154/-1/e3f4439c0864eb11d13db1415dfda2bf.jpg","Agoda CDN","YES","Freestanding Parisian Soaking Tub","4.8","490","READY FOR REVIEW",""
"Canada","Banff","https://www.hotelswithbathtubs.com/canada/banff","Fairmont Banff Springs","https://www.booking.com/hotel/ca/fairmont-banff-springs.html","https://www.booking.com/hotel/ca/fairmont-banff-springs.html","https://www.agoda.com/fairmont-banff-springs/hotel/banff-ab-ca.html","https://pix8.agoda.net/hotelImages/10705/-1/218cb7e42d76ea2bc75ba7a1772bc8cb.jpg","Agoda CDN","YES","Deep Mountain Soaking Clawfoot Bath","4.8","740","READY FOR REVIEW",""
"Canada","Banff","https://www.hotelswithbathtubs.com/canada/banff","Post Hotel & Spa, Lake Louise","https://www.booking.com/hotel/ca/post-and-spa.html","https://www.booking.com/hotel/ca/post-and-spa.html","https://www.agoda.com/post-hotel-and-spa/hotel/lake-louise-ab-ca.html","https://pix8.agoda.net/hotelImages/1879796/-1/59a8cb404c05ef1a2e7c4f1c97a8c3d1.jpg","Agoda CDN","YES","Private In-Cabin Hydro Whirlpool Tub","4.9","390","READY FOR REVIEW",""
"Canada","Banff","https://www.hotelswithbathtubs.com/canada/banff","The Rimrock Resort Hotel, Banff","https://www.booking.com/hotel/ca/the-rimrock-resort.html","https://www.booking.com/hotel/ca/the-rimrock-resort.html","https://www.agoda.com/the-rimrock-resort-hotel/hotel/banff-ab-ca.html","https://pix8.agoda.net/hotelImages/10701/-1/c1d89b33a59846d0a7a3b37812e9bcae.jpg","Agoda CDN","YES","Deep Soaking Bathtub","4.8","520","READY FOR REVIEW",""
"France","Paris","https://www.hotelswithbathtubs.com/france/paris","Four Seasons Hotel George V Paris","https://www.booking.com/hotel/fr/four-seasons-hotel-george-v-paris.html","https://www.booking.com/hotel/fr/four-seasons-george-v-paris.html","https://www.agoda.com/four-seasons-hotel-george-v-paris","https://pix8.agoda.net/hotelImages/11674/-1/2156eb10f3c5ea64e1cba570bc6c06bf.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","9.6","100+","READY FOR REVIEW",""
"France","Paris","https://www.hotelswithbathtubs.com/france/paris","Hôtel Ritz Paris","https://www.booking.com/hotel/fr/h-tel-ritz-paris.html","https://www.booking.com/hotel/fr/ritz-paris.html","https://www.agoda.com/ritz-paris","https://pix8.agoda.net/hotelImages/1162463/-1/b6d6553835697d2ec6c0b388b1f5e85f.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","9.8","100+","READY FOR REVIEW",""
"France","Paris","https://www.hotelswithbathtubs.com/france/paris","Hôtel de Crillon, A Rosewood Hotel","https://www.booking.com/hotel/fr/h-tel-de-crillon-a-rosewood-hotel.html","https://www.booking.com/hotel/fr/hotel-de-crillon.html","https://www.agoda.com/hotel-de-crillon-a-rosewood-hotel","https://pix8.agoda.net/hotelImages/2372134/-1/2a08892f39223ea4ee50a1dfa52b8eb5.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","9.7","100+","READY FOR REVIEW",""
"France","Paris","https://www.hotelswithbathtubs.com/france/paris","Le Bristol Paris","https://www.booking.com/hotel/fr/le-bristol-paris.html","https://www.booking.com/hotel/fr/le-bristol-paris.html","https://www.agoda.com/le-bristol-paris","https://pix8.agoda.net/hotelImages/15984/-1/107f9c8901be9b16ea9825b7b2512a23.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","9.6","100+","READY FOR REVIEW",""
