Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"Thailand","Bangkok","https://www.hotelswithbathtubs.com/thailand/bangkok","137 Pillars Suites & Residences Bangkok","https://www.booking.com/hotel/th/137-pillars-suites-residences-bangkok.html","https://www.booking.com/hotel/th/137-pillars-suites-residences-bangkok.html","https://www.agoda.com/137-pillars-suites-residences-bangkok","https://pix8.agoda.net/hotelImages/1879796/-1/59a8cb404c05ef1a2e7c4f1c97a8c3d1.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","9.4","100+","READY FOR REVIEW",""
"Thailand","Bangkok","https://www.hotelswithbathtubs.com/thailand/bangkok","Banyan Tree Bangkok","https://www.booking.com/hotel/th/banyan-tree-bangkok.html","https://www.booking.com/hotel/th/banyan-tree-bangkok.html","https://www.agoda.com/banyan-tree-bangkok/hotel/bangkok-th.html","https://pix8.agoda.net/hotelImages/10705/-1/218cb7e42d76ea2bc75ba7a1772bc8cb.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"Thailand","Bangkok","https://www.hotelswithbathtubs.com/thailand/bangkok","Capella Bangkok","https://www.booking.com/hotel/th/capella-bangkok.html","https://www.booking.com/hotel/th/capella-bangkok.html","https://www.agoda.com/capella-bangkok","https://pix8.agoda.net/hotelImages/109782/-1/1073cb4395a12d8a6b28eb9b29c87ebc.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","9.8","100+","READY FOR REVIEW",""
"Thailand","Bangkok","https://www.hotelswithbathtubs.com/thailand/bangkok","Centara Grand at CentralWorld","https://www.booking.com/hotel/th/centara-grand-at-centralworld.html","https://www.booking.com/hotel/th/centara-grand-at-centralworld.html","https://www.agoda.com/centara-grand-at-centralworld/hotel/bangkok-th.html","https://pix8.agoda.net/hotelImages/159840/-1/3c2a8b9409df8c42bca1c3905cf7e8b9.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"Thailand","Bangkok","https://www.hotelswithbathtubs.com/thailand/bangkok","Dusit Thani Bangkok","https://www.booking.com/hotel/th/dusit-thani-bangkok.html","https://www.booking.com/hotel/th/dusit-thani-bangkok.html","https://www.agoda.com/dusit-thani-bangkok/hotel/bangkok-th.html","https://pix8.agoda.net/hotelImages/10705/-1/218cb7e42d76ea2bc75ba7a1772bc8cb.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"Thailand","Bangkok","https://www.hotelswithbathtubs.com/thailand/bangkok","Four Seasons Hotel Bangkok at Chao Phraya","https://www.booking.com/hotel/th/four-seasons-hotel-bangkok-at-chao-phraya.html","https://www.booking.com/hotel/th/four-seasons-chao-phraya-bangkok.html","https://www.agoda.com/four-seasons-hotel-bangkok-at-chao-phraya","https://pix8.agoda.net/hotelImages/11674/-1/2156eb10f3c5ea64e1cba570bc6c06bf.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","9.5","100+","READY FOR REVIEW",""
"Thailand","Bangkok","https://www.hotelswithbathtubs.com/thailand/bangkok","MAYU Bangkok Japanese Style Hotel","https://www.booking.com/hotel/th/mayu-bangkok-japanese-style-hotel.html","https://www.booking.com/hotel/th/mayu-bangkok-japanese-style-hotel.html","https://www.agoda.com/mayu-bangkok-japanese-style-hotel/hotel/bangkok-th.html","https://pix8.agoda.net/hotelImages/39474/-1/6c3a5266838848d7950c40683a31c518.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"Thailand","Bangkok","https://www.hotelswithbathtubs.com/thailand/bangkok","Mandarin Oriental Bangkok","https://www.booking.com/hotel/th/mandarin-oriental-bangkok.html","https://www.booking.com/hotel/th/mandarin-oriental-bangkok.html","https://www.agoda.com/mandarin-oriental-bangkok","https://pix8.agoda.net/hotelImages/10701/-1/c1d89b33a59846d0a7a3b37812e9bcae.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","9.7","100+","READY FOR REVIEW",""
"Thailand","Bangkok","https://www.hotelswithbathtubs.com/thailand/bangkok","Pathumwan Princess Hotel","https://www.booking.com/hotel/th/pathumwan-princess-hotel.html","https://www.booking.com/hotel/th/pathumwan-princess-hotel.html","https://www.agoda.com/pathumwan-princess-hotel/hotel/bangkok-th.html","https://pix8.agoda.net/hotelImages/10702/-1/a573be9081e7d825c893cb62118742f1.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"Thailand","Bangkok","https://www.hotelswithbathtubs.com/thailand/bangkok","Rosewood Bangkok","https://www.booking.com/hotel/th/rosewood-bangkok.html","https://www.booking.com/hotel/th/rosewood-bangkok.html","https://www.agoda.com/rosewood-bangkok","https://pix8.agoda.net/hotelImages/2372134/-1/2a08892f39223ea4ee50a1dfa52b8eb5.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","9.5","100+","READY FOR REVIEW",""
